id,t_send,scope,segment,size_bucket,amount_rel,gc,outcome,t_decision
1,0,Windows,commercial,L,211,GC087,0,
2,0,Mirrors,commercial,M,35.1,GC087,1,181
3,8,Windows,commercial,L,217,GC087,0,
4,8,Mirrors,commercial,S,11.1,GC087,1,189
5,15,Mirrors,commercial,M,27.6,GC087,0,
6,15,Windows,commercial,L,344,GC087,0,
7,16,Windows,commercial,XL,803,GC103,0,
8,19,Shower Doors,commercial,S,16.6,GC182,0,
9,19,Mirrors,commercial,S,2.23,GC182,0,
10,19,Windows,commercial,M,61,GC182,0,
11,20,Windows,commercial,XL,613,GC199,0,
12,29,Windows,commercial,L,279,GC083,0,
13,29,Mirrors,commercial,S,18.4,GC083,0,
14,29,Windows,commercial,L,340,GC034,0,
15,29,Windows,commercial,XL,4070,GC084,0,
16,29,Mirrors,commercial,M,57,GC131,0,
17,34,Mirrors,commercial,S,7.79,GC001,1,215
18,34,Windows,commercial,M,52.4,GC001,1,215
19,36,Mirrors,commercial,S,1.54,GC089,0,
20,36,Windows,commercial,M,32.6,GC089,0,
21,37,Shower Doors,commercial,M,27,GC014,0,
22,41,Windows,commercial,L,87.7,GC012,0,
23,41,Mirrors,commercial,S,4.34,GC012,0,
24,42,Windows,commercial,XL,2500,GC123,0,
25,42,Windows,commercial,M,19.8,GC143,1,223
26,42,Mirrors,commercial,S,1.67,GC143,1,223
27,44,Mirrors,commercial,M,42.9,GC184,0,
28,44,Windows,commercial,XL,1110,GC184,0,
29,44,Shower Doors,commercial,L,107,GC184,0,
30,44,Mirrors,commercial,S,3.74,GC227,0,
31,44,Windows,commercial,M,49.5,GC227,0,
32,47,Windows,commercial,M,46.1,GC118,0,
33,47,Mirrors,commercial,S,2.15,GC118,0,
34,47,Shower Doors,commercial,S,12.8,GC118,0,
35,47,Mirrors,commercial,S,1.9,GC118,0,
36,47,Shower Doors,commercial,S,10.5,GC118,0,
37,47,Windows,commercial,M,41.5,GC118,0,
38,49,Mirrors,commercial,S,1.44,GC213,0,
39,49,Windows,commercial,M,64.4,GC213,0,
40,50,Mirrors,commercial,M,20.7,GC012,0,
41,50,Windows,commercial,L,364,GC094,0,
42,51,Mirrors,commercial,S,8.38,GC228,0,
43,51,Windows,commercial,L,191,GC228,0,
44,54,Windows,commercial,M,52.4,GC223,0,
45,54,Windows,commercial,L,277,GC199,0,
46,55,Windows,commercial,L,339,GC087,0,
47,55,Mirrors,commercial,S,11.5,GC087,1,92
48,55,Mirrors,commercial,S,2.32,GC166,0,
49,55,Shower Doors,commercial,S,6.73,GC166,0,
50,55,Windows,commercial,M,42.5,GC166,0,
51,55,Storefront,commercial,L,256,GC166,0,
52,56,Shower Doors,commercial,S,0.641,GC108,0,
53,56,Mirrors,commercial,S,0.28,GC108,0,
54,56,Windows,commercial,S,9.77,GC108,0,
55,56,Windows,commercial,L,358,GC204,0,
56,56,Mirrors,commercial,M,25.6,GC204,0,
57,56,Shower Doors,commercial,L,222,GC204,0,
